DirectorySeqnum;DirectoryName;Parent;TieLine;Address;MailCode;PhoneType;PhoneNumber
276353;ACCOUNTING;276352;;;;OFFICE;845-365-8804
276354;ACCOUNTS PAYABLE;276352;;;;OFFICE;845-365-8856
276355;ADMINISTRATIVE SERVICES ( Lamont-Doherty);276352;;;;OFFICE;845-365-8842
276356;ADMINISTRATOR;276352;;;;OFFICE;845-365-8843
276357;ANCILLARY SERVICE;276352;;;;OFFICE;845-365-8842
276358;CONTRACTS OFFICE;276352;;;;OFFICE;845-365-8872
276359;DIRECTOR S OFFICE;276352;;;;OFFICE;845-365-8546
276360;HUMAN RESOURCES;276352;;;;OFFICE;845-365-8847
276361;INFORMATION   EXT. 0;276352;;;;OFFICE;845-359-2900
276362;LIBRARY;276352;;;;OFFICE;845-365-8809
276363;PHYSICAL PLANT;276352;;;;OFFICE;845-365-8600
276364;PROPERTY;276352;;;;OFFICE;845-365-8822
276365;PUBLICATIONS;276352;;;;OFFICE;845-365-8474
276366;PURCHASING;276352;;;;OFFICE;845-365-8854
276367;SAFETY;276352;;;;OFFICE;845-365-8822
276368;SECURITY;276352;;;;OFFICE;845-365-8822
276369;TELECOMMUNICATIONS;276352;;;;OFFICE;845-365-8822
276370;TRAVEL;276352;;;;OFFICE;845-365-8431
276372;GEOCHEMISTRY DIVISION;276371;;;;OFFICE;845-365-8305
276373;OCEANS AND CLIMATES DIVISION;276371;;;;OFFICE;845-365-8518
276374;SEISMOLOGY DIVISION;276371;;;;OFFICE;845-365-8522
276399;FAX;276398;MS* 4-7801;;;FAX;212-854-7801
276401;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276400;;;;;
276403;www.law.columbia.edu/studentservices;276402;;;;;
276405;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276404;;;;;
276408;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276407;;;;;
276410;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276409;;;;;
276412;www.law.columbia.edu/studentservices/;276411;;;;;
276418;PHONE;276417;MS* 4-0574;;;OFFICE;212-854-0574
276427;PUBLIC@LAW.COLUMBIA.EDU;276426;;;;;
276430;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276429;;;;;
276432;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276431;;;;;
276435;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276434;;;;;
276437;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276436;;;;;
276439;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276438;;;;;
276441;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276440;;;;;
276443;www.columbia.edu/cu/hrlr;276442;;;;;
276445;www.columbia.edu/cu/asiaweb;276444;;;;;
276447;www.columbia.edu/cu/jeel;276446;;;;;
276449;www.columbia.edu/cu/jel;276448;;;;;
276451;www.columbia.edu/cu/eurojournal/index.htm;276450;;;;;
276453;www.law.columbia.edu/cu/jgl/;276452;;;;;
276455;www.columbia.edu/cu/jlsp;276454;;;;;
276457;www.columbia.edu/cu/jtl/;276456;;;;;
276459;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276458;;;;;
276461;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276460;;;;;
276463;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276462;;;;;
276468;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276467;;;;;
276470;FAX;276469;MS* 4-1229;;;FAX;212-854-1229
276471;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276469;;;;;
276473;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276472;;;;;
276475;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276474;;;;;
276477;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276476;;;;;
276479;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276478;;;;;
276481;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276480;;;;;
276485;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276484;;;;;
276487;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276486;;;;;
276489;www.columbia.edu/cu/jla/;276488;;;;;
276491;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276490;;;;;
276493;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276492;;;;;
276495;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276494;;;;;
276500;FAX;276499;MS* 4-7801;;;FAX;212-854-7801
276502;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276501;;;;;
276504;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276503;;;;;
276506;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276505;;;;;
276508;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276507;;;;;
276510;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276509;;;;;
276512;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276511;;;;;
276517;www.columbia.edu/cu/law/fed-soc/;276516;;;;;
276522;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276521;;;;;
276526;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276525;;;;;
276528;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276527;;;;;
276531;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276530;;;;;
276535;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276534;;;;;
276538;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276537;;;;;
276540;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276539;;;;;
276542;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276541;;;;;
276544;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276543;;;;;
276546;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276545;;;;;
276549;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276548;;;;;
276551;www.law.columbia.edu/studentservices;276550;;;;;
276555;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276554;;;;;
276557;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276556;;;;;
276559;FAX;276558;MS* 4-1229;;;FAX;212-854-1229
276560;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276558;;;;;
276565;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276564;;;;;
276567;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276566;;;;;
276569;jrnnblj@law.columbia.edu;276568;;;;;
276571;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276570;;;;;
276573;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276572;;;;;
276575;www.law.columbia.edu/studentservices;276574;;;;;
276577;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276576;;;;;
276580;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276579;;;;;
276582;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276581;;;;;
276584;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276583;;;;;
276586;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276585;;;;;
276588;FAX;276587;;;;FAX;212-851-1064
276589;WWW.PILI.ORG;276587;;;;;
276591;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276590;;;;;
276595;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276594;;;;;
276597;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276596;;;;;
276599;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276598;;;;;
276601;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276600;;;;;
276606;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276605;;;;;
276608;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276607;;;;;
276610;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276609;;;;;
276612;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276611;;;;;
276614;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276613;;;;;
276616;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276615;;;;;
276618;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276617;;;;;
276620;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276619;;;;;
276622;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276621;;;;;
276624;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276623;;;;;
276626;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276625;;;;;
276628;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276627;;;;;
276630;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276629;;;;;
276632;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276631;;;;;
276634;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276633;;;;;
276637;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276635;;;;;
276639;WWW.LAW.COLUMBIA.EDU/STUDENTSERVICES/;276638;;;;;
276651;FAX;276650;MS* 4-2863;;;FAX;212-854-2863
276655;Acting Director;276654;MS* 4-2533;307 BTLR;1118;OFFICE;212-854-2533
276658;Circulation and Support services;276654;MS* 4-4734;201 BTLR;1121;OFFICE;212-854-4734
276659;Butler Collection Management Department;276654;MS* 4-7118;TIER 6 BUTLER;1124;OFFICE;212-854-7118
276661;Communications Coordinator;276654;MS* 4-4692;207 BTLR;1103;OFFICE;212-854-4692
276669;Assoc. V.P. for Finance, Admin. and Human Resources;276668;MS* 4-7754;515 BTLR;1101;OFFICE;212-854-7754
276670;Acquisitions Accounting;276666;MS* 4-7348;106S BTLR;1109;OFFICE;212-368-7348
276671;Monagraphs Acquisitions;276666;MS* 4-3530;106M BTLR;1117;OFFICE;212-854-3530
276673;Serials Acquisitions;276666;MS* 4-3540;101H BTLR;1117;OFFICE;212-854-3540
276676;Fax;276675;MS* 4-3834;;;FAX;212-854-3834
276677;African Studies;276675;MS* 4-8045;308 IntAff;3301;OFFICE;212-854-8045
276678;Latin American and Iberian Studies;276675;MS* 4-3630;307 IntAff;3301;OFFICE;212-854-3630
276679;Middle East and Jewish Studies;276675;MS* 4-3995;303 IntAff;3301;OFFICE;212-854-3995
276680;Russian and East European Studies;276675;MS* 4-4701;306 IntAff;3301;OFFICE;212-854-4701
276681;South and Southeast Asian Studies;276675;MS* 4-8041;305 INTAFF;3301;OFFICE;212-854-8041
276682;Technical Services;276675;MS* 4-6878;302 INTAFF;3301;OFFICE;212-854-6878
276683;V.P. for Info. Srvcs. and University Librarian;276668;MS* 4-2247;517 BTLR;1101;OFFICE;212-854-2247
276686;Librarian: Kathleen Kehoe;276685;MS* 4-4182;601 FAIRCHILD;2457;OFFICE;212-854-4182
276687;Fax;276685;MS* 4-1364;;;FAX;212-854-1364
276688;Assoc, V.P. for Digital Programs and Technology Svcs.;276668;MS* 4-2226;514 BTLR;1103;OFFICE;212-854-2226
276692;weekdays after 5pm , and weekends;276690;MS* 4-2425;;;OFFICE;212-854-2425
276693;Access and Support Services;276690;MS* 4-3506;229 Avery;0301;OFFICE;212-854-3506
276695;Avery Index;276690;MS* 4-8407;237 Avery;0301;OFFICE;212-854-8407
276698;Drawings and Archives Curator;276690;MS* 4-6738;121 Avery;0301;OFFICE;212-854-6738
276700;Rare Books Curator;276690;MS* 4- 3982;233 Avery;0301;OFFICE;212-854-3982
276701;Acting Director;276690;MS* 4-2232;6TH FL BUTLER EAST SIDE;1127;OFFICE;212-854-2232
276703;Collection Development;276690;MS* 4-6745;237 AVERY;0301;OFFICE;212-854-6745
276704;Reference Desk;276690;MS* 4-8403;;;OFFICE;212-854-8403
276705;Service/Reserves Desk;276690;MS* 4-2425;220B Avery;0301;OFFICE;212-854-2425
276707;Bibliographic Services and Collection Development;276668;MS* 4-5585;513 BTLR;1103;OFFICE;212-854-5585
276710;African Studies North of Sahara;276709;MS* 4-3995;308 IntAff;3301;OFFICE;212-854-3995
276713;American Literature and Language;276709;MS* 4-4356;309 Btlr;1120;OFFICE;212-854-4356
276714;South and Southeast Asain Studies;276709;MS* 4-8401;305 INTAFF;3301;OFFICE;212-854-8401
276715;Business;276709;MS* 4-5467;130 Uris;9163;OFFICE;212-854-5467
276716;Chinesse Studies;276709;MS* 4-3721;307M KENT;3901;OFFICE;212-854-3721
276717;East asain Institute;276709;MS* 4-1508;305M KENT;3901;OFFICE;212-854-1508
276718;French and Romance Literature and Language;276709;MS* 4-5802;309 Btlr;1126;OFFICE;212-854-5802
276719;Japanesse studies;276709;MS* 4-1506;308M KENT;3901;OFFICE;212-854-1506
276720;Korean Studies;276709;MS* 4-1507;310M KENT;3901;OFFICE;212-854-1507
276721;Latin American Studies;276709;MS* 4-3630;307 SIA;3301;OFFICE;212-854-3630
276722;Middle Eastern studies;276709;MS* 4-3995;303 IntAff;3301;OFFICE;212-854-3995
276723;Russia and Eastern Europe;276709;MS* 4-4701;306 INTAFF;3301;OFFICE;212-854-4701
276724;Sociology;276709;MS* 4-7768;328  INTAFF;3301;OFFICE;212-854-7768
276725;Tibetan Studies;276709;MS* 4-9875;304M KENT;;OFFICE;212-854-9875
276726;History Ancient and Medieval;276709;MS* 4-3031;309C BTLR;1120;OFFICE;212-854-3031
276728;Special Collections and Materials Cataloging;276727;MS* 4-2237;102A BTLR;1111;OFFICE;212-854-2237
276729;Monographs Processing;276727;MS* 4-5487;101M Btlr;1109;OFFICE;212-854-5487
276732;Original Serials and monographs Cataloging;276727;MS* 4-2714;102 Btlr;1111;OFFICE;212-854-2714
276735;Recon Projects;276727;MS* 4-3543;606 Bltr;1112;OFFICE;212-854-3543
276740;Fax;276739;MS* 4-8972;;;FAX;212-854-8972
276741;Circulation;276739;MS* 4-4715;;;OFFICE;212-854-4715
276742;Reference;276739;MS* 4-4182;;;OFFICE;212-854-4182
276743;Access;276739;MS* 4-6768;;;OFFICE;212-854-6768
276744;Assoc. Librarian for Collections and Services;276668;MS* 4-0025;508 BTLR;1103;OFFICE;212-854-0025
276747;Circulation Desk;276746;MS* 4-7804;;;OFFICE;212-854-7804
276748;Information (Recorded);276746;MS* 4-4000;;;OFFICE;212-854-4000
276749;Reference Desk;276746;MS* 4-3383;;;OFFICE;212-854-3383
276750;Technical Services;276746;MS* 4-6798;;;OFFICE;212-854-6798
276751;Circulation Desk;274230;MS* 4-2235;300 Btlr;1122;OFFICE;212-854-2235
276752;Circulation Office;274230;MS* 4-3536;311 Btlr;1122;OFFICE;212-854-3536
276753;Access Services;274230;MS* 4-2533;307 BTLR;1118;OFFICE;212-854-2533
276754;Library Information;274230;MS* 4-7309;201 Btlr;1121;OFFICE;212-854-7309
276758;Media Center;274230;MS* 4-1715;208B Btlr;1125;OFFICE;212-854-1715
276759;Periodicals and Micoforms Reading Room;274230;MS* 4-4704;401 Btlr;1123;OFFICE;212-854-4704
276760;Reference;274230;MS* 4-2241;301 Btlr;1126;OFFICE;212-854-2241
276762;Reserves;274230;MS* 4-3534;208 BTLR;1125;OFFICE;212-854-3534
276764;Stacks Maintenance;274230;MS* 4-7338;308 BTLT;1124;OFFICE;212-854-7338
276768;Circulation;276767;MS* 4-4709;;;OFFICE;212-854-4709
276769;Reference;276767;MS* 4-5778;;;OFFICE;212-854-5778
276770;Fax;276767;MS* 4-5804;;;FAX;212-854-5804
276772;Reference Information;276771;MS* 4-2241;;;OFFICE;212-854-2241
276773;System Information;276771;MS* 4-4969;;;OFFICE;212-854-4969
276774;na;276771;;;;;
276777;Director of Human Resources;276668;MS* 4-7358;512 BTLR;1103;OFFICE;212-854-7358
276784;Grant Development Officer;276668;MS* 4-1776;507B BTLR;1103;OFFICE;212-854-1776
276789;Fax;276788;MS* 4-3323;;;FAX;212-854-3323
276790;Circulation;276788;MS* 4-2976;;;OFFICE;212-854-2976
276791;Reference;276788;MS* 4-3206;;;OFFICE;212-854-3206
276792;Asst. to V.P. for Info. Svcs and University Librarian;276668;MS* 4-3051;517 BTLR;1101;OFFICE;212-854-3051
276796;Fax;276795;MS* 4-4716;;;FAX;212-854-4716
276797;Circulation;276795;MS* 4-4713;;;OFFICE;212-854-4713
276798;Reference;276795;MS* 4-6767;;;OFFICE;212-854-6767
276800;Lamont-Doherty Earth Observatory;276799;;;;OFFICE;845-365-8808
276805;General Library Information;276803;MC* 7-3692;;;OFFICE;212-305-3692
276806;Administration;276803;MC* 7-3688;;;OFFICE;212-305-3688
276807;Archives and Special collections;276803;MC* 7-7931;;;OFFICE;212-305-7931
276808;Circulation;276803;MC* 7-3605;;;OFFICE;212-305-3605
276809;Computer and Media Services;276803;MC* 7-3694;;;OFFICE;212-305-3694
276810;Interlibrary Loan;276803;MC* 7-4082;;;OFFICE;212-305-4082
276811;Photocopy Center;276803;MC* 7-6989;;;OFFICE;212-305-6989
276812;Reference Desk;276803;MC* 7-3692;;;OFFICE;212-305-3692
276813;Systems;276803;MC* 7-6302;;;OFFICE;212-305-6302
276817;Director;276816;MS* 4-3356;207B BTLR;1114;OFFICE;212-854-3356
276818;System Help Desk;276816;MS* 4-4969;;;OFFICE;212-854-4969
276819;Library Privileges and Fines;276859;MS* 4-7309;;;OFFICE;212-854-7309
276821;Phone;276820;MS* 4-7611;;;OFFICE;212-854-7611
276824;Collection Management;274230;MS* 4-4710;401 BTLR;1123;OFFICE;212-854-4710
276827;Circulation/Reserves;276782;;;;OFFICE;212-854-4318
276828;Fax;276826;;;;FAX;212-854-0099
276831;Fax;276830;;;;FAX;845-365-8151
276833;Fax;276832;MS* 4-3295;;;FAX;212-854-3295
276834;General Library Infprmation;276832;MS* 4-3737;;;OFFICE;212-854-3737
276835;Acquisitions;276832;MS* 4-3719;553 GREENE;4007;OFFICE;212-854-3719
276836;Acquisitions/Serials;276832;MS* 4-3719;553 GREENE;4007;OFFICE;212-854-3719
276837;Administration;276832;MS* 4-1101;200 N-1  GREENE;4007;OFFICE;212-854-1101
276838;Associate Librarian;276832;MS* 4-3108;412 GREENE;4007;OFFICE;212-854-3108
276839;Cataloging;276832;MS* 4-1408;553 GREENE;4007;OFFICE;212-854-1408
276840;Circulation Reserves and Access;276832;MS* 4-3922;316 Greene;4007;OFFICE;212-854-3922
276841;Librarian (Kent McKeever);276832;MS* 4-4228;BOX A-6 LAW SCHOOL;4007;OFFICE;212-854-4228
276842;Department Administrator;276832;MS* 4-7849;200N-2 GREENE;4007;OFFICE;212-854-7849
276843;NA;276832;;;;OFFICE;
276844;Reference;276832;MS* 4-3743;316G Greene;4007;OFFICE;212-854-3743
276845;Resources and Technical Services;276832;MS* 4-8413;553 GREENE;4007;OFFICE;212-854-8413
276846;Special Collections;276832;MS* 4-5244;316F Greene;4007;OFFICE;212-854-5244
276848;Circulation;276847;MS* 4-4170;3fl IntAff;3301;OFFICE;212-854-4170
276849;U.S. Government Documents Depository;276847;MS* 4-3794;300 SIA;3305;OFFICE;212-854-3794
276850;Electronic Data Service (EDS);276847;MS* 4-6012;201 IntAff;3301;OFFICE;212-854-6012
276851;Hours, Basic Information;276847;MS* 4-4170;;;OFFICE;212-854-4170
276852;Map Room;276847;MS* 4-5087;213 SIA;3301;OFFICE;212-854-5087
276853;Reference Desk;276847;MS* 4-5087;;;OFFICE;212-854-5087
276854;Reserves Supervisor;276847;MS* 4-3547;313 SIA;3301;OFFICE;212-854-3547
276855;Technical Services;276847;MS* 4-6241;312 SIA;3301;OFFICE;212-854-6241
276856;Access/Tech. Support;276847;MS* 4-3889;318 SIA;3305;OFFICE;212-854-3889
276857;Geographical Information Services (GIS);276847;MS* 4-5664;328 SIA;3301;OFFICE;212-854-5664
276860;Fax;276859;MS* 4-5082;;;FAX;212-854-5082
276861;Reference;276782;;;;OFFICE;212-854-4319
276865;Head;276862;MS* 4-7402;206 BTLR;1125;OFFICE;212-854-7402
276867;Reference Information;276866;MS* 4-2242;;;OFFICE;212-854-2242
276869;libraryweb@columbia.edu;276866;;;;;
276870;Computing Help Line;276866;MS* 4-1919;;;OFFICE;212-854-1919
276874;Circulation;276873;MS* 4-4712;;;OFFICE;212-854-4712
276875;Reference;276873;MS* 4-4182;;;OFFICE;212-854-4182
276876;Fax;276873;MS* 4-8849;;;FAX;212-854-8849
276881;Undergraduate Services Coordinator;276879;MS* 4-0520;205 BTLR;1125;OFFICE;212-854-0520
276894;Circulation;276893;MS* 4-3943;;;OFFICE;212-854-3943
276895;Reference;276893;MS* 4-8447;;;OFFICE;212-854-8447
276896;Fax;276893;MS* 4-1364;;;FAX;212-854-1364
276898;ASSISTANT VICE PRESIDENT FOR PLANNING AND FINANCE;276897;MS* 4-7754;515 Btlr;1105;OFFICE;212-854-7754
276899;FINANCIAL SERVICES ADMINISTRATOR;276897;MS* 4-3824;520 Btlr;1105;OFFICE;212-854-3824
276902;Director;276901;MS* 4-5757;101C Btlr;1108;OFFICE;212-854-5757
276905;Customer Orders (Film/Photography);276901;MS* 4-1336;101D BTLR;1108;OFFICE;212-854-1336
276909;Reprography Lab;276901;MS* 4-5519;101F BTLR;1108;OFFICE;212-854-5519
276911;Circulation;276910;MS* 4-4714;;;OFFICE;212-854-4714
276912;Fax;276910;MS* 4-5660;;;FAX;212-854-5660
276913;Reference;276910;MS* 4-5658;;;OFFICE;212-854-5658
276915;Annual Giving and specisl Events Officer;276914;MS* 4-4746;6TH FL BTLR (EAST SIDE);1127;OFFICE;212-854-4746
276916;Curator of Manuscripts and University Archivist;276914;MS* 4-1331;6TH FL BTLR (EAST SIDE);1127;OFFICE;212-854-1331
276917;Oral History Research Office;276914;MS* 4-4012;6TH FL BTLR (EAST SIDE);1129;OFFICE;212-854-4012
276925;CIRCULATION;276924;MS* 4-4712;;;OFFICE;212-854-4712
276926;FAX;276924;MS* 4-8849;;;FAX;212-854-8849
276927;REFERENCE;276924;MS* 4-8833;;;OFFICE;212-854-8833
276929;Access Services;276928;MS* 4-6768;601 Frchld;2457;OFFICE;212-854-6768
276930;Director;276928;MS* 4-3353;422 SWMd;4707;OFFICE;212-854-3353
276931;Materials Processing;276928;MS* 4-1191;422 SWMd;4707;OFFICE;212-854-1191
276937;Circulation Desk;276936;MS* 1-2194;;;OFFICE;212-851-2194
276938;Reference Desk;276936;MS* 1-2196;;;OFFICE;212-851-2196
276939;Reserves;276936;MS* 1-2197;212 SOCIAL WORK LIBRARY;4600;OFFICE;212-851-2197
276940;Access/Tech Support;276936;MS* 4-3889;318 SIA;3301;OFFICE;212-854-3889
276941;Librarian;276936;MS* 1-2195;1255 AMST AVE RM 213;4600;OFFICE;212-851-2195
276953;DIRECTOR;276952;MS* 4-5585;;1114;OFFICE;212-854-5585
276954;SYSTEMS HELP DESK;276952;MS* 4-4969;;1113;OFFICE;212-854-4969
276956;DIRECTOR;276955;MS* 4-4764;207B Btlr;1114;OFFICE;212-854-4764
276958;ACQUISITIONS ACCOUNTING;276955;MS* 4-7348;106S Btlr;1109;OFFICE;212-854-7348
276959;GIFTS AND EXCHANGE;276955;MS* 4-3532;108 Btlr;1115;OFFICE;212-854-3532
276960;INTERLIBRARY LOAN;276955;MS* 4-7535;307 Btlr;1118;OFFICE;212-854-7535
276962;MONOGRAPHS ACQUISITIONS;276955;MS* 4-3530;106M Btlr;1119;OFFICE;212-854-3530
276964;SERIALS ACQUISITIONS;276955;MS* 4-3540;101H BTLR;1117;OFFICE;212-854-3540
276966;SHIPPING AND RECEIVING;276955;MS* 4-3998;107 Btlr;1116;OFFICE;212-854-3998
276967;SUPPLY ROOM;276955;MS* 4-2265;107 Btlr;1116;OFFICE;212-854-2265
276971;Undergraduate Services Coordinator;276970;MS* 4-0520;205 Btlr;1125;OFFICE;212-854-0520
276974;EXECUTIVE ASSISTANT;276973;MS* 4-2247;517 BTLR;1101;OFFICE;212-854-2247
276983;Librarian;276982;MS* 4-7604;701-G DODGE;1810;OFFICE;212-854-7604
276990;FAX;276989;MS* 4-4912;;;FAX;212-854-4912
277008;FAX;277007;;;;FAX;212-749-3300
277023;Office;277022;MS* 4-8051;206B MATH;4406;OFFICE;212-854-8051
277044;MORNINGSIDE CAMPUS (CAVA)  99 OR;277043;MS* 4-5555;;;OFFICE;212-854-5555
277045;MEDICAL CENTER;277043;MC* 7-7979;;;OFFICE;212-305-7979
277073;FAX;277072;;;;FAX;212-749-9524
277082;THEATRE LOBBY;277081;MS* 4-7799;;;OFFICE;212-854-7799
277180;FAX;277179;;;;FAX;212-865-1294
277233;FAX;277232;;;;FAX;212-305-2741
277284;SQUASH COURT RESERVATIONS;277283;MS* 4-5228;;;OFFICE;212-854-5228
277285;TENNIS COURT (CAMPUS) RESERVATIONS;277283;MS* 4-2546;;;OFFICE;212-854-2546
277287;LIONLINE RESULTS AND HIGHLIGHTS;277286;MS* 4-3050;;;OFFICE;212-854-3030
277291;BASEBALL  BRETT BORETTI;277290;MS* 4-2453;300 level PFCtr;1930;OFFICE;212-854-2453
277292;BASKETBALL   JOE JONES;277290;MS* 4-3419;300 level PFCtr;1905;OFFICE;212-854-3419
277293;CREW   HEAVYWEIGHT: MIKE ZIMMER;277290;MS* 4-3438;300 level PFCtr;1911;OFFICE;212-854-3438
277295;DIVING   GORDON SPENCER;277290;MS* 4-6922;100 level PFCtr;1917;OFFICE;212-854-6922
277297;FENCING       ALADAR KOGLER;277290;MS* 4-8098;;;OFFICE;212-854-8098
277299;GOLF       RICHARD MUELLER;277290;MS* 4-7147;400 level PFCtr;1908;OFFICE;212-854-7147
277300;SOCCER   DIETER FICKEN;277290;MS* 4-5436;300 level PFCtr;1907;OFFICE;212-854-5436
277301;SWIMMING    JIM BOLSTER;277290;MS* 4-7059;300 level PFCtr;1917;OFFICE;212-854-7059
277302;TENNIS     BID GOSWAMI;277290;;300 level PFCtr;1921;OFFICE;212-942-7100
277303;TRACK/CROSS COUNTRY    WILLY WOOD;277290;MS* 4-3436;300 level PFCtr;1922;OFFICE;212-854-3436
277304;WRESTLING    BRENDAN BUCKLEY;277290;MS* 4-3435;300 level PFCtr;1934;OFFICE;212-854-3435
277306;ARCHERY     DEREK DAVIS;277305;;400 level PFCtr;1924;OFFICE;646-472-7973
277307;BASKETBALL    PAUL NIXON;277305;MS* 4-8861;300 level PFCtr;1901;OFFICE;212-854-8861
277308;CREW     MELANIE ONUFRIEFF;277305;MS* 4-2806;300 level PFCtr;1911;OFFICE;212-854-2806
277309;DIVING     GORDON SPENCER;277305;MS* 4-6922;100 level PFCtr;1917;OFFICE;212-854-6922
277311;FENCING       ALADAR KOGLER;277305;MS* 4-8098;300 level PFCtr;1906;OFFICE;212-854-8098
277312;FIELD HOCKEY      KATIE BEACH;277305;MS* 4-9361;200 level PFCtr;1932;OFFICE;212-854-9361
277313;LACROSSE       KERRI WHITAKER;277305;MS* 4-3115;300 level PFCtr;1940;OFFICE;212-854-3115
277314;SOCCER    KEVIN MCCARTHY;277305;MS* 4-4559;300 level PFCtr;1907;OFFICE;212-854-4559
277315;SWIMMING      DIANA CASKEY;277305;MS* 4-8865;300 level PFCtr;1917;OFFICE;212-854-8865
277316;TENNIS     ROB KRESBERG;277305;MS* 4-7296;300 level PFCtr;1921;OFFICE;212-854-7296
277317;TRACK/CROSS COUNTRY      WILLY WOOD;277305;MS* 4-3436;300 level PFCtr;1922;OFFICE;212-854-3436
277318;VOLLEYBALL     MONICA HOLMES;277305;MS* 4-8864;300 level PFCtr;1936;OFFICE;212-854-8864
277321;ASSOCIATE DIRECTOR, ADMINISTRATION:;277320;MS* 4-7147;;;OFFICE;212-854-7147
